timestamp,T_room,T_supply,T_amb,Q_heat,Q_gains,Q_sol,SOC
2025-12-01 00:00:00,21.365097545826025,41.84625346660536,2.281940592660708,7726.681662410811,575.84,0.0,0.0
2025-12-01 01:00:00,22.0,45.55138316189666,-1.834870179885176,11908.291036516572,575.84,0.0,0.0
2025-12-01 02:00:00,22.0,45.12976434584691,-1.3664048287187849,11432.452040722823,575.84,0.0,0.0
2025-12-01 03:00:00,22.0,45.845545759595936,-2.161717510662146,12240.282944279974,575.84,0.0,0.0
2025-12-01 04:00:00,22.0,43.005872037803705,0.9934755135514372,9035.427181865263,575.84,0.0,0.0
2025-12-01 05:00:00,22.0,45.116151814109095,-1.3512797934545469,11417.088937403527,575.84,0.0,0.0
2025-12-01 06:00:00,22.0,38.20319333961738,6.329785178202915,3615.1240030921736,1439.6,0.0,0.0
2025-12-01 07:00:00,22.0,38.797019089257304,5.669978789714106,4285.315744135794,1994.08,266.56,0.0
2025-12-01 08:00:00,22.0,38.528266398645314,5.968592890394092,3982.001457511102,7363.612,5924.012,0.0
2025-12-01 09:00:00,22.0,42.05718779815008,2.047569113166571,7964.7421489921835,2990.3568,2126.5968,0.0
2025-12-01 10:00:00,22.0,38.61256465955207,5.874928156053256,4077.1404747704673,4212.4712,3348.7112,0.0
2025-12-01 11:00:00,22.0,36.446311508934144,8.281876101184281,1632.3071689830754,4398.3732,3390.6532,0.0
2025-12-01 12:00:00,22.0,37.432410281156066,7.186210798715479,2745.218243312737,2472.58,1320.9,0.0
2025-12-01 13:00:00,22.0,40.42646341370015,3.859485095888723,6124.306608701988,1650.32,642.6,0.0
2025-12-01 14:00:00,22.0,40.1524773059316,4.163914104520445,5815.085887474402,1010.13,146.37,0.0
2025-12-01 15:00:00,22.0,40.36790063613921,3.924554848734209,6058.212657946715,867.33,3.57,0.0
2025-12-01 16:00:00,22.0,41.386188102079494,2.793124331022785,7207.451892006918,863.76,0.0,0.0
2025-12-01 17:00:00,22.0,38.41644953335237,6.092833851830699,3855.804943341486,1439.6,0.0,0.0
2025-12-01 18:00:00,22.0,45.55782364988186,-1.842026277646512,11915.55977125667,1727.52,0.0,0.0
2025-12-01 19:00:00,22.0,41.85109411098317,2.27656209890759,7732.1448136556055,2015.44,0.0,0.0
2025-12-01 20:00:00,22.0,46.22614607487121,-2.584606749856901,12669.828460099649,1727.52,0.0,0.0
2025-12-01 21:00:00,22.0,46.37583708968349,-2.750930099648324,12838.769739416792,1439.6,0.0,0.0
2025-12-01 22:00:00,22.0,48.83521151398767,-5.483568348875188,15614.41971468649,1151.68,0.0,0.0
2025-12-01 23:00:00,22.0,46.5656309507266,-2.961812167474005,13052.971090990042,863.76,0.0,0.0
2025-12-02 00:00:00,22.0,42.98068302722942,1.021463303078427,9006.998864531122,575.84,0.0,0.0
2025-12-02 01:00:00,22.0,45.10064933820405,-1.3340548202267173,11399.592843097093,575.84,0.0,0.0
2025-12-02 02:00:00,22.0,47.37474223822235,-3.860824709135948,13966.134090057749,575.84,0.0,0.0
2025-12-02 03:00:00,22.0,42.81471859838881,1.205868224012435,8819.69141014161,575.84,0.0,0.0
2025-12-02 04:00:00,22.0,41.68365232557637,2.4626085271373714,7543.17001464549,575.84,0.0,0.0
2025-12-02 05:00:00,22.0,42.84446489649872,1.172816781668088,8853.263082188458,575.84,0.0,0.0
