STATIONS_ID,datetime,  QN,diffuse_radiation_J_cm2,global_radiation_J_cm2,sunshine_duration_min,longwave_radiation_J_cm2,eor,GHI_W_m2,DHI_W_m2
2559,2024-11-28 00:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 00:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 00:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 00:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 00:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 00:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 01:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 01:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 01:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 01:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 01:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 01:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 02:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 02:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 02:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 02:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 02:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 02:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 03:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 03:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 03:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 03:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 03:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 03:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 04:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 04:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 04:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 04:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 04:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 04:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 05:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 05:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 05:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 05:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 05:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 05:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 06:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 06:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 06:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 06:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 06:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 06:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 07:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 07:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 07:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2024-11-28 07:30:00,3,0.1,0.1,0.0,,eor,16.7,16.7
2559,2024-11-28 07:40:00,3,0.1,0.1,0.0,,eor,16.7,16.7
2559,2024-11-28 07:50:00,3,0.1,0.1,0.0,,eor,16.7,16.7
2559,2024-11-28 08:00:00,3,0.1,0.1,0.0,,eor,16.7,16.7
2559,2024-11-28 08:10:00,3,0.5,0.5,0.0,,eor,83.3,83.3
2559,2024-11-28 08:20:00,3,0.7,0.7,0.0,,eor,116.7,116.7
2559,2024-11-28 08:30:00,3,0.6,0.6,0.0,,eor,100.0,100.0
2559,2024-11-28 08:40:00,3,0.8,0.8,0.0,,eor,133.3,133.3
2559,2024-11-28 08:50:00,3,1.1,1.1,0.0,,eor,183.3,183.3
2559,2024-11-28 09:00:00,3,1.2,1.2,0.0,,eor,200.0,200.0
2559,2024-11-28 09:10:00,3,1.1,1.1,0.0,,eor,183.3,183.3
2559,2024-11-28 09:20:00,3,0.6,0.6,0.0,,eor,100.0,100.0
2559,2024-11-28 09:30:00,3,0.8,0.8,0.0,,eor,133.3,133.3
2559,2024-11-28 09:40:00,3,0.8,0.8,0.0,,eor,133.3,133.3
2559,2024-11-28 09:50:00,3,0.7,0.7,0.0,,eor,116.7,116.7
2559,2024-11-28 10:00:00,3,0.4,0.4,0.0,,eor,66.7,66.7
2559,2024-11-28 10:10:00,3,0.3,0.3,0.0,,eor,50.0,50.0
2559,2024-11-28 10:20:00,3,0.6,0.6,0.0,,eor,100.0,100.0
2559,2024-11-28 10:30:00,3,0.8,0.8,0.0,,eor,133.3,133.3
2559,2024-11-28 10:40:00,3,0.7,0.7,0.0,,eor,116.7,116.7
2559,2024-11-28 10:50:00,3,0.5,0.5,0.0,,eor,83.3,83.3
2559,2024-11-28 11:00:00,3,0.8,0.8,0.0,,eor,133.3,133.3
2559,2024-11-28 11:10:00,3,1.2,1.2,0.0,,eor,200.0,200.0
