timestamp,GHI_W_m2,DHI_W_m2,elevation_deg,azimuth_deg,Q_sol_W
2021-01-01 00:00:00,0.0,0.0,-59.78547499283788,16.403059020109936,0.0
2021-01-01 01:00:00,0.0,0.0,-55.36867050956372,40.966988618209086,0.0
2021-01-01 02:00:00,0.0,0.0,-48.29302915444223,60.26218605381388,0.0
2021-01-01 03:00:00,0.0,0.0,-39.83139839667359,75.50335195369098,0.0
2021-01-01 04:00:00,0.0,0.0,-30.794583191783115,88.3237233809732,0.0
2021-01-01 05:00:00,0.0,0.0,-21.69106224828444,99.90965847379324,0.0
2021-01-01 06:00:00,0.0,0.0,-12.893677161829256,111.0595080610754,0.0
2021-01-01 07:00:00,0.0,0.0,-4.73546168512825,122.33265015782894,0.0
2021-01-01 08:00:00,16.7,13.9,2.695454988593863,134.12981694272764,112.92356249999997
2021-01-01 09:00:00,52.8,52.8,8.372222330185494,146.70104923137336,412.3349999999999
2021-01-01 10:00:00,94.5,94.5,12.435536124535563,160.10033781050993,737.9859374999999
2021-01-01 11:00:00,55.6,55.6,14.467850205099309,174.13315378149605,434.20124999999996
2021-01-01 12:00:00,41.7,41.7,14.2719796462454,188.37705222620747,325.65093749999994
2021-01-01 13:00:00,52.8,52.8,11.867423705897147,202.3258229820888,412.3349999999999
2021-01-01 14:00:00,41.7,41.7,7.486182169858934,215.58972942228544,325.65093749999994
2021-01-01 15:00:00,27.8,27.8,1.6173458632977231,228.0192661506356,217.10062499999998
2021-01-01 16:00:00,0.0,0.0,-6.089071706126034,239.70721898793843,0.0
2021-01-01 17:00:00,0.0,0.0,-14.380272177436224,250.9323512886125,0.0
2021-01-01 18:00:00,0.0,0.0,-23.25189886774321,262.12110444614143,0.0
2021-01-01 19:00:00,0.0,0.0,-32.36787784636366,273.8671506281201,0.0
2021-01-01 20:00:00,0.0,0.0,-41.33924478532946,287.02483248399506,0.0
2021-01-01 21:00:00,0.0,0.0,-49.617370828350055,302.86168398596874,0.0
2021-01-01 22:00:00,0.0,0.0,-56.31630078904995,323.0415852319425,0.0
2021-01-01 23:00:00,0.0,0.0,-60.09464603703227,348.4337393189383,0.0
