timestamp,T_room,T_supply,T_amb,Q_heat,Q_gains,SOC
2025-12-01 00:00:00,21.260280722466742,40.9103504962384,2.281940592660708,6670.42157005466,575.84,49.0
2025-12-01 01:00:00,21.805179805484318,44.4096396529024,-1.834870179885176,10619.719312265648,575.84,48.019999999999996
2025-12-01 02:00:00,22.0,44.01144410441097,-1.3664048287187849,10170.315816238222,575.84,47.059599999999996
2025-12-01 03:00:00,22.0,44.687459884062825,-2.161717510662146,10933.267225153306,575.84,46.118407999999995
2025-12-01 04:00:00,22.0,42.00554581348128,0.9934755135514372,7906.45900509497,575.84,45.19603983999999
2025-12-01 05:00:00,22.0,43.99858782443637,-1.3512797934545469,10155.806218658889,575.84,44.29211904319999
2025-12-01 06:00:00,22.0,37.46968259852752,6.329785178202915,2787.2837806981593,1439.6,43.40627666233599
2025-12-01 07:00:00,22.0,38.03051802874301,5.669978789714106,3420.242647239362,1727.52,42.53815112908927
2025-12-01 08:00:00,22.0,37.77669604316502,5.968592890394092,3133.7791543160392,1439.6,41.687388106507484
2025-12-01 09:00:00,22.0,41.10956625380841,2.047569113166571,6895.256474048172,863.76,40.85364034437733
2025-12-01 10:00:00,22.0,37.85631106735473,5.874928156053256,3223.63267061655,863.76,40.03656753748979
2025-12-01 11:00:00,21.854519790652702,35.81040531399336,8.281876101184281,914.6234373729027,1007.72,39.235836186739995
2025-12-01 12:00:00,21.804338569447978,36.741720821091846,7.186210798715479,1965.7061186842577,1151.68,38.45111946300519
2025-12-01 13:00:00,21.976252250301176,39.56943766849459,3.859485095888723,5157.067352662991,1007.72,37.68209707374508
2025-12-01 14:00:00,22.0,39.31067301115762,4.163914104520445,4865.025560392489,863.76,36.92845513227018
2025-12-01 15:00:00,22.0,39.51412837857592,3.924554848734209,5094.645288060782,863.76,36.18988602962478
2025-12-01 16:00:00,21.923179228508292,37.74481296828405,2.793124331022785,3106.2000117611497,863.76,9.8
2025-12-01 17:00:00,21.977172227512074,37.671091225943904,6.092833851830699,3014.5935576002908,1439.6,9.604
2025-12-01 18:00:00,22.0,44.41572233599953,-1.842026277646512,10626.584228409074,1727.52,9.41192
2025-12-01 19:00:00,22.0,40.91492221592855,2.27656209890759,6675.581212896961,2015.44,9.223681599999999
2025-12-01 20:00:00,22.0,45.04691573737837,-2.584606749856901,11338.94910120523,1727.52,9.039207968
2025-12-01 21:00:00,22.0,45.18829058470108,-2.750930099648324,11498.50475389364,1439.6,8.85842380864
2025-12-01 22:00:00,22.0,47.51103309654391,-5.483568348875188,14119.95195275946,1151.68,8.6812553324672
2025-12-01 23:00:00,22.0,45.3675403423529,-2.961812167474005,11700.806030379488,863.76,8.507630225817856
2025-12-02 00:00:00,22.0,41.98175619238334,1.021463303078427,7879.610038723835,575.84,8.337477621301497
2025-12-02 01:00:00,22.0,43.98394659719271,-1.3340548202267173,10139.282129591697,575.84,8.170728068875468
2025-12-02 02:00:00,22.0,50.0,-3.860824709135948,12929.000000000004,575.84,93.1
2025-12-02 03:00:00,22.0,49.794131775987566,1.205868224012435,12696.657122379569,575.84,93.1
2025-12-02 04:00:00,22.0,48.53739147286263,2.4626085271373714,11278.300016272766,575.84,93.1
2025-12-02 05:00:00,22.0,41.85310573558212,1.172816781668088,7734.41513317798,575.84,91.238
2025-12-02 06:00:00,22.0,37.690926431140596,6.0694983163051806,3036.979570185277,1439.6,89.41323999999999
2025-12-02 07:00:00,21.908529806681944,36.42511689923848,4.678404429659311,1629.15067376944,1727.52,9.8
2025-12-02 08:00:00,22.0,38.2894907376026,5.365305014585176,3712.519246458293,1439.6,9.604
2025-12-02 09:00:00,22.0,40.111580746148434,3.2216697104136096,5768.930030103123,863.76,9.41192
2025-12-02 10:00:00,21.95071362560387,37.13893620157663,6.718898586380436,2414.0033970993813,863.76,9.223681599999999
2025-12-02 11:00:00,21.946722838805858,37.497307018689526,6.29728586036526,2818.460701292999,1007.72,9.039207968
2025-12-02 12:00:00,21.904640778811988,36.866290695459256,7.039658005342053,2106.295678895316,1151.68,8.85842380864
2025-12-02 13:00:00,22.0,39.02964774315743,4.494532066873612,4547.860442927479,1007.72,8.6812553324672
2025-12-02 14:00:00,22.0,37.98774552372263,5.720299383855728,3371.9695980733604,863.76,8.507630225817856
2025-12-02 15:00:00,22.0,40.13450149433117,3.194704124316273,5794.798386502157,863.76,8.337477621301497
2025-12-02 16:00:00,22.0,43.10012456994225,-0.2942641999320639,9141.800589636827,863.76,8.170728068875468
2025-12-02 17:00:00,22.0,38.57289748006818,5.031885317566851,4032.3720960049463,1439.6,8.007313507497958
2025-12-02 18:00:00,22.0,43.70406126887218,-1.004777963379034,9823.403548049144,1727.52,7.847167237347999
2025-12-02 19:00:00,22.0,41.847767763218464,1.179096749154749,7728.390697568359,2015.44,7.690223892601039
